>
2012 01 01  17 31 36   55927.730278  -4.0357E-01
2012 01 01  17 41 36   55927.737222  -2.9420E-01
2012 01 01  17 51 36   55927.744167  -1.9236E-01
2012 01 01  18 01 36   55927.751111  -7.7924E-02
2012 01 01  18 11 36   55927.758056   3.4467E-02
2012 01 01  18 21 36   55927.765000   1.6453E-01
2012 01 01  18 31 36   55927.771944   2.7904E-01
2012 01 01  18 41 36   55927.778889   3.9237E-01
2012 01 01  18 51 36   55927.785833   4.8090E-01
2012 01 01  19 01 36   55927.792778   5.7396E-01
2012 01 01  19 11 36   55927.799722   6.6577E-01
2012 01 01  19 21 36   55927.806667   7.6306E-01
2012 01 01  19 31 36   55927.813611   8.5858E-01
2012 01 01  19 41 36   55927.820556   9.3942E-01
2012 01 01  19 51 36   55927.827500   1.0165E+00
2012 01 01  20 01 36   55927.834444   1.0598E+00
2012 01 01  20 11 36   55927.841389   1.1041E+00
2012 01 01  20 21 36   55927.848333   1.1440E+00
2012 01 01  20 31 36   55927.855278   1.1864E+00
2012 01 01  20 41 36   55927.862222   1.2271E+00
2012 01 01  20 51 36   55927.869167   1.2599E+00
2012 01 01  21 01 36   55927.876111   1.2758E+00
2012 01 01  21 11 36   55927.883056   1.2958E+00
2012 01 01  21 21 36   55927.890000   1.3032E+00
2012 01 01  21 31 36   55927.896944   1.3139E+00
2012 01 01  21 41 36   55927.903889   1.3153E+00
2012 01 01  21 51 36   55927.910833   1.2995E+00
2012 01 01  22 01 36   55927.917778   1.2802E+00
2012 01 01  22 11 36   55927.924722   1.2456E+00
2012 01 01  22 21 36   55927.931667   1.2152E+00
2012 01 01  22 31 36   55927.938611   1.1616E+00
2012 01 01  22 41 36   55927.945556   1.1020E+00
2012 01 01  22 51 36   55927.952500   1.0353E+00
2012 01 01  23 01 36   55927.959444   9.5775E-01
2012 01 01  23 11 36   55927.966389   8.7209E-01
2012 01 01  23 21 36   55927.973333   7.7810E-01
2012 01 01  23 31 36   55927.980278   6.9195E-01
2012 01 01  23 41 36   55927.987222   6.0586E-01
2012 01 01  23 51 36   55927.994167   5.1438E-01
2012 01 02  00 01 36   55928.001111   4.1188E-01
2012 01 02  00 11 36   55928.008056   3.1526E-01
2012 01 02  00 21 36   55928.015000   2.1702E-01
2012 01 02  00 31 36   55928.021944   1.3049E-01
2012 01 02  00 41 36   55928.028889   4.8007E-02
2012 01 02  00 51 36   55928.035833  -2.3508E-02
2012 01 02  01 01 36   55928.042778  -9.8932E-02
2012 01 02  01 11 36   55928.049722  -1.7271E-01
2012 01 02  01 21 36   55928.056667  -2.4563E-01
2012 01 02  01 31 36   55928.063611  -3.2138E-01
2012 01 02  01 41 36   55928.070556  -3.8442E-01
2012 01 02  01 51 36   55928.077500  -4.5778E-01
2012 01 02  02 01 36   55928.084444  -5.1840E-01
2012 01 02  02 11 36   55928.091389  -5.8600E-01
2012 01 02  02 21 36   55928.098333  -6.5355E-01
2012 01 02  02 31 36   55928.105278  -7.3854E-01
2012 01 02  02 41 36   55928.112222  -8.0825E-01
2012 01 02  02 51 36   55928.119167  -8.8229E-01
2012 01 02  03 01 36   55928.126111  -9.4687E-01
2012 01 02  03 11 36   55928.133056  -1.0024E+00
2012 01 02  03 21 36   55928.140000  -1.0783E+00
2012 01 02  03 31 36   55928.146944  -1.1145E+00
