>
2012 01 01  17 51 36   55927.744167   3.4847E-01
2012 01 01  18 01 36   55927.751111   3.4275E-01
2012 01 01  18 11 36   55927.758056   3.3295E-01
2012 01 01  18 21 36   55927.765000   3.3981E-01
2012 01 01  18 31 36   55927.771944   3.3117E-01
2012 01 01  18 41 36   55927.778889   3.2243E-01
2012 01 01  18 51 36   55927.785833   2.9099E-01
2012 01 01  19 01 36   55927.792778   2.6720E-01
2012 01 01  19 11 36   55927.799722   2.4619E-01
2012 01 01  19 21 36   55927.806667   2.3562E-01
2012 01 01  19 31 36   55927.813611   2.2907E-01
2012 01 01  19 41 36   55927.820556   2.1440E-01
2012 01 01  19 51 36   55927.827500   2.0327E-01
2012 01 01  20 01 36   55927.834444   1.6616E-01
2012 01 01  20 11 36   55927.841389   1.3845E-01
2012 01 01  20 21 36   55927.848333   1.1513E-01
2012 01 01  20 31 36   55927.855278   1.0345E-01
2012 01 01  20 41 36   55927.862222   9.9569E-02
2012 01 01  20 51 36   55927.869167   9.7293E-02
2012 01 01  21 01 36   55927.876111   8.7676E-02
2012 01 01  21 11 36   55927.883056   9.1854E-02
2012 01 01  21 21 36   55927.890000   9.2855E-02
2012 01 01  21 31 36   55927.896944   1.0654E-01
2012 01 01  21 41 36   55927.903889   1.2002E-01
2012 01 01  21 51 36   55927.910833   1.2503E-01
2012 01 01  22 01 36   55927.917778   1.3511E-01
2012 01 01  22 11 36   55927.924722   1.3779E-01
2012 01 01  22 21 36   55927.931667   1.5240E-01
2012 01 01  22 31 36   55927.938611   1.5087E-01
2012 01 01  22 41 36   55927.945556   1.5000E-01
2012 01 01  22 51 36   55927.952500   1.4819E-01
2012 01 01  23 01 36   55927.959444   1.4112E-01
2012 01 01  23 11 36   55927.966389   1.3101E-01
2012 01 01  23 21 36   55927.973333   1.1712E-01
2012 01 01  23 31 36   55927.980278   1.1509E-01
2012 01 01  23 41 36   55927.987222   1.1659E-01
2012 01 01  23 51 36   55927.994167   1.1564E-01
2012 01 02  00 01 36   55928.001111   1.0610E-01
2012 01 02  00 11 36   55928.008056   1.0434E-01
2012 01 02  00 21 36   55928.015000   1.0237E-01
2012 01 02  00 31 36   55928.021944   1.1296E-01
2012 01 02  00 41 36   55928.028889   1.2798E-01
2012 01 02  00 51 36   55928.035833   1.5382E-01
2012 01 02  01 01 36   55928.042778   1.7509E-01
2012 01 02  01 11 36   55928.049722   1.9685E-01
2012 01 02  01 21 36   55928.056667   2.1777E-01
2012 01 02  01 31 36   55928.063611   2.3364E-01
2012 01 02  01 41 36   55928.070556   2.5949E-01
2012 01 02  01 51 36   55928.077500   2.7176E-01
2012 01 02  02 01 36   55928.084444   2.9295E-01
2012 01 02  02 11 36   55928.091389   3.0283E-01
2012 01 02  02 21 36   55928.098333   3.0788E-01
2012 01 02  02 31 36   55928.105278   2.9009E-01
2012 01 02  02 41 36   55928.112222   2.8164E-01
2012 01 02  02 51 36   55928.119167   2.6244E-01
2012 01 02  03 01 36   55928.126111   2.4579E-01
2012 01 02  03 11 36   55928.133056   2.3078E-01
2012 01 02  03 21 36   55928.140000   1.8764E-01
2012 01 02  03 31 36   55928.146944   1.7603E-01
2012 01 02  03 41 36   55928.153889   1.6294E-01
2012 01 02  03 51 36   55928.160833   1.3936E-01
2012 01 02  04 01 36   55928.167778   1.5640E-01
2012 01 02  04 11 36   55928.174722   1.4386E-01
2012 01 02  04 21 36   55928.181667   1.5627E-01
2012 01 02  04 31 36   55928.188611   1.6652E-01
2012 01 02  04 41 36   55928.195556   1.7895E-01
2012 01 02  04 51 36   55928.202500   2.1650E-01
2012 01 02  05 01 36   55928.209444   2.4034E-01
2012 01 02  05 11 36   55928.216389   2.5014E-01
2012 01 02  05 21 36   55928.223333   2.7007E-01
2012 01 02  05 31 36   55928.230278   2.8850E-01
2012 01 02  05 41 36   55928.237222   3.1058E-01
2012 01 02  05 51 36   55928.244167   3.1193E-01
2012 01 02  06 01 36   55928.251111   2.9298E-01
2012 01 02  06 11 36   55928.258056   2.8860E-01
2012 01 02  06 21 36   55928.265000   2.6872E-01
2012 01 02  06 31 36   55928.271944   2.6014E-01
2012 01 02  06 41 36   55928.278889   2.3622E-01
2012 01 02  06 51 36   55928.285833   2.4447E-01
2012 01 02  07 01 36   55928.292778   2.2010E-01
2012 01 02  07 11 36   55928.299722   1.8381E-01
2012 01 02  07 21 36   55928.306667   1.4461E-01
2012 01 02  07 31 36   55928.313611   1.3997E-01
2012 01 02  07 41 36   55928.320556   1.3212E-01
2012 01 02  07 51 36   55928.327500   1.3438E-01
2012 01 02  08 01 36   55928.334444   1.2153E-01
2012 01 02  08 11 36   55928.341389   1.0597E-01
