  18   0 2 0 0 1 0 1 1 0 0 0 .00000 .00000 .00000      .00000 .000036  .000000
  19   0 2 0 0 0 0 0 0 0 2 2 .00000 .00000 .00000      .00000 .000011  .000000
  20  10 2 0 0 2-2-1 0 0 0 2 .00005 .00005 .00005      .00000 .000048  .000000
  21  11 2 0 0 2-2 0 0 0 0 0 .00073 .00073 .00075      .00073 .000732  .000001
  22   0 2 0 0 2-2 1 0 0 0 2 .00000 .00000 .00000      .00000 .000073  .000000
  23  12 3 0 0 2-1 0 0 0 0-1 .00005 .00005 .00005      .00000 .000047  .000000
  24   0 3 0 0 2-1 1 0 0 0-1 .00000 .00000 .00000      .00000 .000007  .000000
  25  13 2 0 0 2 0 0-2 0 0 0 .00030 .00030 .00028      .00030 .000288  .000000
  26  14 2 0 0 2 0 0 0 0 0 0 .07284 .07280 .07275 SSA  .07299 .072732 -.000081
  27  15 2 0 0 2 0 1 0 0 0 2 .00181 .00181 .00181      .00181 .001799  .000003
  28  16 2 0 0 2 0 2 0 0 0 2 .00040 .00040 .00040      .00040 .000400  .000000
  29   0 2 0 0 2 0 3 0 0 0 0 .00000 .00000 .00000      .00000 .000012  .000000
  30   0 2 0 0 3-2 0-1 0 0 0 .00000 .00000 .00000      .00000 .000025  .000000
  31  17 2 0 0 3 0 0-1 0 0 0 .00427 .00425 .00425 STA  .00427 .004246 -.000014
  32  18 2 0 0 3 0 1-1 0 0 2 .00007 .00007 .00007      .00000 .000074  .000000
  33   0 2 0 0 3 0 2-1 0 0 2 .00000 .00000 .00000      .00000 .000018  .000000
  34  19 2 0 0 4 0 0-2 0 0 0 .00016 .00016 .00016      .00017 .000173  .000000
  35   0 2 0 1-4 1-1 0 0 0 2 .00000 .00000 .00000      .00000 .000028  .000000
  36   0 2 0 1-4 1 0 2 0 0 0 .00000 .00000 .00000      .00000 .000021  .000000
  37   0 2 0 1-4 3 0 0 0 0 0 .00000 .00000 .00000      .00000 .000014  .000000
  38  20 2 0 1-3 1-1 1 0 0 2 .00005 .00005 .00005      .00000 .000051  .000000
  39  21 2 0 1-3 1 0 1 0 0 0 .00068 .00068 .00068      .00068 .000675  .000000
  40   0 2 0 1-3 1 1 1 0 0 2 .00000 .00000 .00000      .00000 .000042  .000000
  41  22 2 0 1-2-1-2 0 0 0 2 .00005 .00005 .00005      .00000 .000056  .000000
  42  23 2 0 1-2-1-1 0 0 0 2 .00014 .00016 .00016      .00016 .000153  .000000
  43   0 3 0 1-2 0-1 0 0 0-1 .00000 .00000 .00000      .00000 .000013  .000000
  44  24 3 0 1-2 0 0 0 0 0 1 .00005 .00005 .00005      .00000 .000053  .000000
  45  25 2 0 1-2 1-1 0 0 0 2 .00113 .00113 .00113      .00113 .001133 -.000001
  46  26 2 0 1-2 1 0 0 0 0 0 .01579 .01579 .01579 MSM  .01578 .015791  .000005
  47  27 2 0 1-2 1 1 0 0 0 2 .00103 .00103 .00103      .00103 .001025 -.000001
  48   0 2 0 1-2 1 2 0 0 0 0 .00000 .00000 .00000      .00000 .000010  .000000
  49   0 3 0 1-2 2 0 0 0 0-1 .00000 .00000 .00000      .00000 .000007  .000000
  50   0 2 0 1-1-1-1 1 0 0 2 .00000 .00000 .00000      .00000 .000046  .000000
  51  28 2 0 1-1-1 0 1 0 0 0 .00052 .00052 .00052      .00051 .000507  .000000
  52   0 2 0 1-1-1 1 1 0 0 2 .00000 .00000 .00000      .00000 .000027  .000000
  53   0 2 0 1-1 0-1 0 0 0 0 .00000 .00000 .00000      .00000 .000033  .000000
  54  29 2 0 1-1 0 0 0 0 0 2 .00047 .00047 .00047      .00044 .000458  .000001
  55   0 3 0 1-1 0 0 1 0 0-1 .00000 .00000 .00000      .00000 .000006  .000000
  56   0 2 0 1-1 0 1 0 0 0 0 .00000 .00000 .00000      .00000 .000032  .000000
  57  30 2 0 1-1 1 0-1 0 0 2 .00012 .00012 .00012      .00010 .000109  .000000
  58   0 3 0 1 0-2 0 0 0 0 1 .00000 .00000 .00000      .00000 .000019  .000000
  59  31 2 0 1 0-1-2 0 0 0 0 .00007 .00007 .00007      .00000 .000068  .000000
  60  32 2 0 1 0-1-1 0 0 0 2 .00542 .00542 .00542      .00542 .005419 -.000003
  61   0 4 0 1 0-1-1 0 0 0 2 .00000 .00000 .00000      .00000 .000004  .000000
  62  33 2 0 1 0-1 0 0 0 0 0 .08254 .08256 .08256 MM   .08254 .082569  .000027
  63   0 4 0 1 0-1 0 0 0 0 0 .00000 .00000 .00000      .00000 .000012  .000000
  64  34 2 0 1 0-1 1 0 0 0 2 .00535 .00535 .00537      .00535 .005358 -.000007
  65   0 4 0 1 0-1 1 0 0 0 2 .00000 .00000 .00000      .00000 .000004  .000000
  66  35 3 0 1 0 0-1 0 0 0 1 .00024 .00025 .00024      .00024 .000241  .000000
  67   0 2 0 1 0-1 2 0 0 0 0 .00000 .00000 .00000      .00000 .000052  .000000
  68   0 2 0 1 0 0 0-1 0 0 0 .00000 .00000 .00000      .00000 .000068  .000000
  69  36 3 0 1 0 0 0 0 0 0-1 .00466 .00466 .00466      .00466 .004660 -.000001
  70  37 3 0 1 0 0 1 0 0 0-1 .00073 .00073 .00073      .00073 .000735  .000000
  71  38 3 0 1 0 0 2 0 0 0 1 .00006 .00006 .00006      .00000 .000057  .000000
  72  39 2 0 1 0 1 0 0 0 0 2 .00441 .00441 .00441      .00442 .004410 -.000004
  73  40 2 0 1 0 1 1 0 0 0 2 .00181 .00181 .00181      .00179 .001798 -.000001
  74  41 2 0 1 0 1 2 0 0 0 2 .00049 .00049 .00049      .00047 .000483  .000000
  75   0 2 0 1 0 1 3 0 0 0 0 .00000 .00000 .00000      .00000 .000024  .000000
  76   0 2 0 1 1-1-1-1 0 0 0 .00000 .00000 .00000      .00000 .000033  .000000
  77  42 2 0 1 1-1 0-1 0 0 2 .00042 .00042 .00042      .00043 .000426  .000000
  78   0 2 0 1 1-1 1-1 0 0 0 .00000 .00000 .00000      .00000 .000017  .000000
  79   0 3 0 1 1 0 0-1 0 0 1 .00000 .00000 .00000      .00000 .000009  .000000
  80   0 2 0 1 1 0 0 0 0 0 0 .00000 .00000 .00000      .00000 .000027  .000000
  81   0 2 0 1 1 0 1 0 0 0 0 .00000 .00000 .00000      .00000 .000011  .000000
  82   0 2 0 1 1 1 0-1 0 0 2 .00000 .00000 .00000      .00000 .000015  .000000
  83   0 2 0 1 1 1 1-1 0 0 2 .00000 .00000 .00000      .00000 .000009  .000000
  84  43 2 0 1 2-1 0 0 0 0 2 .00115 .00115 .00115      .00116 .001148 -.000001
  85  44 2 0 1 2-1 1 0 0 0 2 .00059 .00059 .00056      .00058 .000574  .000000
  86  45 2 0 1 2-1 2 0 0 0 2 .00012 .00009 .00009      .00000 .000103  .000000
  87   0 3 0 1 2 0 1 0 0 0 1 .00000 .00000 .00000      .00000 .000007  .000000
  88   0 3 0 1 2 0 2 0 0 0 1 .00000 .00000 .00000      .00000 .000004  .000000
  89  46 2 0 1 3-1 0-1 0 0 2 .00005 .00005 .00005      .00000 .000055  .000000
  90   0 2 0 1 3-1 1-1 0 0 2 .00000 .00000 .00000      .00000 .000026  .000000
  91   0 2 0 2-5 2 0 1 0 0 0 .00000 .00000 .00000      .00000 .000022  .000000
  92   0 2 0 2-4 0-1 0 0 0 2 .00000 .00000 .00000      .00000 .000025  .000000
  93   0 2 0 2-4 0 0 2 0 0 0 .00000 .00000 .00000      .00000 .000041  .000000
  94   0 2 0 2-4 2-1 0 0 0 2 .00000 .00000 .00000      .00000 .000018  .000000
  95  47 2 0 2-4 2 0 0 0 0 0 .00026 .00026 .00026      .00026 .000257  .000000
  96   0 2 0 2-4 2 1 0 0 0 2 .00000 .00000 .00000      .00000 .000017  .000000
  97   0 2 0 2-3 0-1 1 0 0 0 .00000 .00000 .00000      .00000 .000023  .000000
  98  48 2 0 2-3 0 0 1 0 0 0 .00092 .00092 .00089      .00091 .000902 -.000001
  99  49 2 0 2-3 0 1 1 0 0 2 .00005 .00005 .00005      .00000 .000057  .000000
 100   0 2 0 2-3 1 0 0 0 0 2 .00000 .00000 .00000      .00000 .000022  .000000
 101   0 3 0 2-3 1 0 1 0 0-1 .00000 .00000 .00000      .00000 .000007  .000000
 102   0 2 0 2-2-2-1 0 0 0 2 .00000 .00000 .00000      .00000 .000013  .000000
 103   0 3 0 2-2-1 0 0 0 0 1 .00000 .00000 .00000      .00000 .000007  .000000
 104   0 2 0 2-2 0-2 0 0 0 0 .00000 .00000 .00000      .00000 .000029  .000000
 105  50 2 0 2-2 0-1 0 0 0 0 .00099 .00099 .00099      .00098 .000977  .000000
 106  51 2 0 2-2 0 0 0 0 0 0 .01368 .01368 .01368 MSF  .01370 .013659  .000004
 107  52 2 0 2-2 0 1 0 0 0 2 .00087 .00087 .00089      .00088 .000879  .000000
 108   0 3 0 2-2 1-1 0 0 0 1 .00000 .00000 .00000      .00000 .000008  .000000
 109   0 2 0 2-2 0 2 0 0 0 0 .00000 .00000 .00000      .00000 .000010  .000000
 110  53 3 0 2-2 1 0 0 0 0-1 .00015 .00015 .00015      .00015 .000148  .000000
 111   0 3 0 2-2 1 1 0 0 0-1 .00000 .00000 .00000      .00000 .000023  .000000
 112  54 2 0 2-2 2 0 0 0 0 2 .00009 .00009 .00009      .00000 .000089  .000000
 113   0 2 0 2-2 2 1 0 0 0 2 .00000 .00000 .00000      .00000 .000036  .000000
